"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"32807","28.55245","-81.30165","Orlando","FL","Florida","TRUE","","34456","1583.6","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32808","28.57932","-81.44342","Orlando","FL","Florida","TRUE","","60203","1957.2","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32809","28.46301","-81.38428","Orlando","FL","Florida","TRUE","","29237","1086.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32810","28.62113","-81.42863","Orlando","FL","Florida","TRUE","","36927","1555.2","12095","Orange","{""12095"": 99.89, ""12117"": 0.11}","Orange|Seminole","12095|12117","FALSE","FALSE","America/New_York"
"32811","28.51624","-81.44516","Orlando","FL","Florida","TRUE","","41475","1927.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32812","28.4848","-81.32767","Orlando","FL","Florida","TRUE","","34686","1577.7","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32814","28.57002","-81.32663","Orlando","FL","Florida","TRUE","","9286","2994.7","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32817","28.59002","-81.2445","Orlando","FL","Florida","TRUE","","37014","1218.3","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32818","28.58518","-81.48716","Orlando","FL","Florida","TRUE","","59114","2050.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32819","28.45565","-81.472","Orlando","FL","Florida","TRUE","","30213","564.5","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32820","28.58493","-81.12127","Orlando","FL","Florida","TRUE","","10897","278.6","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32821","28.38095","-81.47719","Orlando","FL","Florida","TRUE","","26161","619.2","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32822","28.49001","-81.29056","Orlando","FL","Florida","TRUE","","67081","1904.8","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32824","28.38991","-81.34471","Orlando","FL","Florida","TRUE","","58368","672.8","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32825","28.53681","-81.24243","Orlando","FL","Florida","TRUE","","63698","1338.1","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32826","28.58543","-81.18263","Orlando","FL","Florida","TRUE","","29006","1525.7","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32827","28.41399","-81.29032","Orlando","FL","Florida","TRUE","","19711","335.7","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32828","28.53052","-81.17022","Orlando","FL","Florida","TRUE","","69202","1282.6","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32829","28.47639","-81.22478","Orlando","FL","Florida","TRUE","","20819","414.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32830","28.38643","-81.56732","Orlando","FL","Florida","TRUE","","197","3.2","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32831","28.47439","-81.14729","Orlando","FL","Florida","TRUE","","2527","90.5","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32832","28.39843","-81.18407","Orlando","FL","Florida","TRUE","","40196","286.6","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32833","28.4948","-81.081","Orlando","FL","Florida","TRUE","","11389","128.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32835","28.52182","-81.48473","Orlando","FL","Florida","TRUE","","49205","2022.5","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32836","28.41734","-81.51536","Orlando","FL","Florida","TRUE","","26106","844.7","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32837","28.38074","-81.41998","Orlando","FL","Florida","TRUE","","53671","1136.9","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32839","28.48833","-81.40689","Orlando","FL","Florida","TRUE","","53242","2767.2","12095","Orange","{""12095"": 100}","Orange","12095","FALSE","FALSE","America/New_York"
"32901","28.07887","-80.62268","Melbourne","FL","Florida","TRUE","","28923","925.7","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32903","28.10818","-80.58709","Indialantic","FL","Florida","TRUE","","13836","1474.7","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32904","28.01","-80.79104","Melbourne","FL","Florida","TRUE","","37241","66.2","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32905","28.03136","-80.59997","Palm Bay","FL","Florida","TRUE","","24792","986.6","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32907","28.01565","-80.68187","Palm Bay","FL","Florida","TRUE","","49080","1070.2","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32908","27.95622","-80.69827","Palm Bay","FL","Florida","TRUE","","16535","332.4","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32909","27.90435","-80.65515","Palm Bay","FL","Florida","TRUE","","41804","279.9","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32920","28.44603","-80.58503","Cape Canaveral","FL","Florida","TRUE","","10005","155.9","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32922","28.37252","-80.74279","Cocoa","FL","Florida","TRUE","","14700","1042.7","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32925","28.24272","-80.62287","Patrick Air Force Base","FL","Florida","TRUE","","1644","205.0","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32926","28.39051","-80.81773","Cocoa","FL","Florida","TRUE","","23505","184.2","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32927","28.46372","-80.80709","Cocoa","FL","Florida","TRUE","","29219","439.9","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32931","28.32193","-80.62731","Cocoa Beach","FL","Florida","TRUE","","14174","1053.4","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32934","28.13532","-80.71153","Melbourne","FL","Florida","TRUE","","18564","312.7","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32935","28.1444","-80.64832","Melbourne","FL","Florida","TRUE","","41965","1232.9","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32937","28.17464","-80.61146","Satellite Beach","FL","Florida","TRUE","","27836","1581.4","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32940","28.21813","-80.7543","Melbourne","FL","Florida","TRUE","","51727","348.6","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32948","27.75901","-80.61826","Fellsmere","FL","Florida","TRUE","","7112","24.1","12061","Indian River","{""12061"": 78.68, ""12009"": 21.32}","Indian River|Brevard","12061|12009","FALSE","FALSE","America/New_York"
"32949","27.92005","-80.55203","Grant","FL","Florida","TRUE","","3636","83.5","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32950","27.9757","-80.57839","Malabar","FL","Florida","TRUE","","4132","85.8","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32951","27.9595","-80.51498","Melbourne Beach","FL","Florida","TRUE","","11299","536.2","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32952","28.31749","-80.66832","Merritt Island","FL","Florida","TRUE","","21613","678.2","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32953","28.45613","-80.69916","Merritt Island","FL","Florida","TRUE","","24759","240.5","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32955","28.29414","-80.77528","Rockledge","FL","Florida","TRUE","","41008","311.3","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32958","27.79364","-80.49135","Sebastian","FL","Florida","TRUE","","30023","416.2","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
"32959","28.44513","-80.7637","Sharpes","FL","Florida","TRUE","","13","244.1","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"32960","27.64069","-80.40366","Vero Beach","FL","Florida","TRUE","","25259","882.3","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
"32962","27.5865","-80.38414","Vero Beach","FL","Florida","TRUE","","25522","788.6","12061","Indian River","{""12061"": 99.84, ""12111"": 0.16}","Indian River|St. Lucie","12061|12111","FALSE","FALSE","America/New_York"
"32963","27.71951","-80.39646","Vero Beach","FL","Florida","TRUE","","15008","332.7","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
"32966","27.68716","-80.70693","Vero Beach","FL","Florida","TRUE","","20686","30.7","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
